Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",145.8000,-117.1000,90.0000,bottom
"C2","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",140.1400,-92.2000,180.0000,bottom
"C3","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",140.1400,-95.4000,180.0000,bottom
"C4","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",147.9000,-117.1000,90.0000,bottom
"C5","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",143.7000,-92.3000,180.0000,bottom
"C6","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",140.2000,-105.9125,180.0000,bottom
"C7","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",145.3500,-100.8500,-90.0000,bottom
"C8","22nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",139.4000,-111.3125,90.0000,bottom
"C9","39pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",151.8400,-95.0250,-90.0000,bottom
"C10","39pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",152.7000,-102.7250,0.0000,bottom
"C11","22nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",160.3000,-103.4625,-90.0000,bottom
"C12","3pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",158.7000,-107.0625,-90.0000,bottom
"C13","3pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",160.3000,-107.0625,-90.0000,bottom
"C14","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",156.8000,-108.4625,-90.0000,bottom
"C15","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",162.2000,-108.4625,90.0000,bottom
"C16","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",146.7575,-103.4000,180.0000,bottom
